Design,Recipe,Nodes,Levels,Iterations
max_orig.bench,"b; rs -K 6; rw; rs -K 6 -N 2; rf; rs -K 8; b; rs -K 8 -N 2; rw; rs -K 10; rwz; rs -K 10 -N 2; b; rs -K 12; rfz; rs -K 12 -N 2; rwz; b",2832,151,16
max_orig.bench,"b; rs -K 6; rw; rs -K 6 -N 2; rf; rs -K 8; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b; rs -K 12; rfz; rs -K 12 -N 2; rwz; b",2831,149,11
max_orig.bench,"b; rs -K 6; rw; rs -K 6 -N 2; rf; rs -K 8; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 16; rfz; rs -K 12 -N 2; rwz; b",2831,149,11
max_orig.bench,"b; rs -K 6; rw; rs -K 6 -N 2; rf; rs -K 8; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 16; rfz; rs -K 12 -N 2; rwz;rs -K 6 -N 3",2831,149,11
max_orig.bench,"b; rs -K 6; rw; rs -K 6 -N 2; rf; rs -K 8; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 4 -N 1; rfz; rs -K 12 -N 2; rwz;rs -K 6 -N 3",2831,149,11
max_orig.bench,"b; rs -K 6; rw; rs -K 6 -N 2;rs -K 8 -N 2; rs -K 8; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 4 -N 1; rfz; rs -K 12 -N 2; rwz;rs -K 6 -N 3",2831,149,11
max_orig.bench,"b; rs -K 6; rw; rs -K 6 -N 2;rs -K 8 -N 2; rs -K 8; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 4 -N 1; rfz;rwz; rwz;rs -K 6 -N 3",2831,150,9
max_orig.bench,"rs -K 4 -N 1; rs -K 6; rw; rs -K 6 -N 2;rs -K 8 -N 2; rs -K 8; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 4 -N 1; rfz;rwz; rwz;rs -K 6 -N 3",2831,150,9
max_orig.bench,"rs -K 4 -N 1; rs -K 6; rw; rs -K 6 -N 2;rs -K 8 -N 2;rs -K 8 -N 3; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 4 -N 1; rfz;rwz; rwz;rs -K 6 -N 3",2831,150,9
max_orig.bench,"rs -K 4 -N 1; rs -K 6; rw;rs -K 16 -N 1;rs -K 8 -N 2;rs -K 8 -N 3; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 4 -N 1; rfz;rwz; rwz;rs -K 6 -N 3",2831,150,9
max_orig.bench,"rs -K 4 -N 1; rs -K 6;rs -K 14 -N 3;rs -K 16 -N 1;rs -K 8 -N 2;rs -K 8 -N 3; b; rs -K 8 -N 2; rw; rs -K 10; rwz;rwz; b;rs -K 4 -N 1; rfz;rwz; rwz;rs -K 6 -N 3",2831,150,9
max_orig.bench,"rs -K 4 -N 1; rs -K 6;rs -K 14 -N 3;rs -K 16 -N 1;rs -K 8 -N 2;rs -K 8 -N 3; b; rs -K 8 -N 2; rw;rs -K 16 -N 3; rwz;rwz; b;rs -K 4 -N 1; rfz;rwz; rwz;rs -K 6 -N 3",2831,150,9
max_orig.bench,"rs -K 4 -N 1;rs -K 12;rs -K 14 -N 3;rs -K 16 -N 1;rs -K 8 -N 2;rs -K 8 -N 3; b; rs -K 8 -N 2; rw;rs -K 16 -N 3; rwz;rwz; b;rs -K 4 -N 1; rfz;rwz; rwz;rs -K 6 -N 3",2831,150,9
